Rank,Term,ResultIndex,Title,URL,Timestamp
2,#WorldKindnessDay,19,World Kindness Day (@kindnessday13) / X,https://x.com/kindnessday13?lang=en,2025-11-13T14:13:20Z
2,#WorldKindnessDay,20,Coca-Cola: #WorldKindnessDay Toast - The Shorty Awards,https://shortyawards.com/13th/coca-cola-world-kindness-day,2025-11-13T14:13:20Z
3,Wike,1,Wike Inc,https://wikeinc.com/,2025-11-13T14:13:24Z
3,Wike,2,Nyesom Wike - Wikipedia,https://en.wikipedia.org/wiki/Nyesom_Wike,2025-11-13T14:13:24Z
3,Wike,3,Nyesom Ezenwo Wike (@GovWike) / Posts / X,https://x.com/GovWike,2025-11-13T14:13:24Z
3,Wike,4,"Candice Wike, Ph.D.",https://www.tgen.org/faculty-profiles/candice-wike-ph-d/,2025-11-13T14:13:24Z
3,Wike,5,"Samuel ""Hunter"" H. Wike | UNC Health",https://www.unchealth.org/care-services/doctors/w/samuel-hunter-h-wike-md,2025-11-13T14:13:24Z
3,Wike,6,Andrew Wike - Men's Soccer - Boston University Athletics,https://goterriers.com/sports/mens-soccer/roster/andrew-wike/25699,2025-11-13T14:13:24Z
3,Wike,7,Traci L. Wike - Social Work - Virginia Commonwealth University,https://socialwork.vcu.edu/directory/people/traci-l-wike.html,2025-11-13T14:13:24Z
3,Wike,8,Where Safety and Adventure Meet - Wike Europe,https://www.wikeeurope.com/nl,2025-11-13T14:13:24Z
3,Wike,9,"William M. Wike | CarolinaEast Health System - New Bern, North ...",http://www.carolinaeasthealth.com/provider-directory/providers/william-m-wike/,2025-11-13T14:13:24Z
3,Wike,10,Karleigh Wike - Women's Basketball - University of Richmond Athletics,https://richmondspiders.com/sports/womens-basketball/roster/karleigh-wike/1574,2025-11-13T14:13:24Z
3,Wike,11,Richard Wike | Pew Research Center,https://www.pewresearch.org/staff/richard-wike/,2025-11-13T14:13:24Z
3,Wike,12,hugolabe/Wike: Wikipedia Reader for the GNOME Desktop - GitHub,https://github.com/hugolabe/Wike,2025-11-13T14:13:24Z
3,Wike,13,Joe Wike - Baseball - Barry University Athletics,https://gobarrybucs.com/sports/baseball/roster/joe-wike/6702,2025-11-13T14:13:24Z
3,Wike,14,Noah Wike - Men's Soccer - Grand Canyon University Athletics,https://gculopes.com/sports/mens-soccer/roster/noah-wike/13190,2025-11-13T14:13:24Z
3,Wike,15,Taylor Wike - Assistant Coach - Softball Coaches - Duke University,https://goduke.com/sports/softball/roster/coaches/taylor-wike/4709,2025-11-13T14:13:24Z
3,Wike,16,Lori Wike - Utah Symphony,https://utahsymphony.org/bio/lori-wike/,2025-11-13T14:13:24Z
3,Wike,17,Karleigh Wike | People | Ropes & Gray LLP,https://www.ropesgray.com/en/people/w/karleigh-wike,2025-11-13T14:13:24Z
3,Wike,18,Joe Wike - Baseball - Eckerd College Athletics,https://eckerdtritons.com/sports/baseball/roster/joe-wike/5003,2025-11-13T14:13:24Z
3,Wike,19,Taylor Wike - Softball - University of North Carolina Athletics,https://goheels.com/roster.aspx?rp_id=10732,2025-11-13T14:13:24Z
3,Wike,20,Joelle Wike - Softball - Eckerd College Athletics,https://eckerdtritons.com/sports/softball/roster/joelle-wike/5627,2025-11-13T14:13:24Z
4,Starmer,1,Keir Starmer - Wikipedia,https://en.wikipedia.org/wiki/Keir_Starmer,2025-11-13T14:13:29Z
4,Starmer,2,Keir Starmer (@keirstarmer) • Instagram photos and videos,https://www.instagram.com/keirstarmer/?hl=en,2025-11-13T14:13:29Z
4,Starmer,3,Keir Starmer (@Keir_Starmer) / Posts / X,https://x.com/Keir_Starmer,2025-11-13T14:13:29Z
4,Starmer,4,StatQuest with Josh Starmer - YouTube,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2025-11-13T14:13:29Z
4,Starmer,5,Efforts to shore up Starmer's leadership may have backfired,https://www.bbc.com/news/articles/cz7p5zdlny5o,2025-11-13T14:13:29Z
4,Starmer,6,Keir Starmer | AP News,https://apnews.com/hub/keir-starmer,2025-11-13T14:13:29Z
4,Starmer,7,"Amy J. Starmer, MD",https://www.baystatehealth.org/providers/amy-j-starmer,2025-11-13T14:13:29Z
4,Starmer,8,Changes in Medical Errors after Implementation of a Handoff ...,https://www.nejm.org/doi/full/10.1056/NEJMsa1405556,2025-11-13T14:13:29Z
4,Starmer,9,Keir Starmer becomes UK prime minister with a sensational victory ...,https://apnews.com/article/uk-election-keir-starmer-profile-labour-e98d16e0810273f6041b61747e084aae,2025-11-13T14:13:29Z
4,Starmer,10,Prime Minister Keir Starmer will fight any attempt to replace him ...,https://www.bbc.com/news/articles/c5y0z2q2g2ro,2025-11-13T14:13:29Z
4,Starmer,11,"I-pass, a mnemonic to standardize verbal handoffs",https://pubmed.ncbi.nlm.nih.gov/22232313/,2025-11-13T14:13:29Z
4,Starmer,12,The Rt Hon Sir Keir Starmer KCB KC MP - GOV.UK,https://www.gov.uk/government/people/keir-starmer,2025-11-13T14:13:29Z
4,Starmer,13,"Development, implementation, and dissemination of the I-PASS ...",https://pubmed.ncbi.nlm.nih.gov/24871238/,2025-11-13T14:13:29Z
4,Starmer,14,"Heather Starmer, PhD CCC-SLP, BCS-S | Stanford Medicine",https://med.stanford.edu/profiles/heather-starmer,2025-11-13T14:13:29Z
4,Starmer,15,"Heather Starmer, PhD CCC-SLP, BCS-S's Profile | Stanford Profiles",https://profiles.stanford.edu/heather-starmer,2025-11-13T14:13:29Z
4,Starmer,16,"Luka Starmer | University of Nevada, Reno",https://www.unr.edu/journalism/faculty-and-staff/directory/starmer-luka,2025-11-13T14:13:29Z
4,Starmer,17,Brea Starmer - Lions & Tigers | LinkedIn,https://www.linkedin.com/in/breastarmer,2025-11-13T14:13:29Z
4,Starmer,18,Keir Starmer | The Guardian,https://www.theguardian.com/politics/keir-starmer,2025-11-13T14:13:29Z
4,Starmer,19,Xi Jinping Speaks with U.K. Prime Minister Keir Starmer on the ...,https://www.fmprc.gov.cn/eng/xw/zyxw/202408/t20240823_11478871.html,2025-11-13T14:13:29Z
4,Starmer,20,Cat Tate Starmer,https://www.masongross.rutgers.edu/bio/Cat-Tate-Starmer/,2025-11-13T14:13:29Z
5,The BBC,1,"BBC Home - Breaking News, World News, US News, Sports ...",https://www.bbc.com/,2025-11-13T14:13:33Z
5,The BBC,2,BBC - Home,https://www.bbc.co.uk/,2025-11-13T14:13:33Z
5,The BBC,3,"Breaking news, video and the latest top stories from the ... - BBC News",https://www.bbc.com/news,2025-11-13T14:13:33Z
5,The BBC,4,BBC News: Home,https://news.bbc.co.uk/,2025-11-13T14:13:33Z
5,The BBC,5,Home - BBC News,https://www.bbc.co.uk/news,2025-11-13T14:13:33Z
5,The BBC,6,BBC - Wikipedia,https://en.wikipedia.org/wiki/BBC,2025-11-13T14:13:33Z
5,The BBC,7,BBC - YouTube,https://www.youtube.com/@BBC,2025-11-13T14:13:33Z
5,The BBC,8,Micro:bit Educational Foundation | micro:bit,https://microbit.org/,2025-11-13T14:13:33Z
5,The BBC,9,Home | Jobs and Careers with the BBC,https://careers.bbc.co.uk/,2025-11-13T14:13:33Z
5,The BBC,10,Update on access to BBC Sounds outside the UK – BBC Help,https://help.bbc.com/hc/en-us/articles/42652680528659-Update-on-access-to-BBC-Sounds-outside-the-UK,2025-11-13T14:13:33Z
5,The BBC,11,The BBC's Civil War Over Gaza - by Owen Jones,https://www.dropsitenews.com/p/bbc-civil-war-gaza-israel-biased-coverage,2025-11-13T14:13:33Z
5,The BBC,12,Pair your TV - BBC iPlayer sign-in - BBC account,https://account.bbc.com/tvcode,2025-11-13T14:13:33Z
5,The BBC,13,The Natural History Unit | BBC Studios Productions,https://productions.bbcstudios.com/our-production-brands/the-natural-history-unit/,2025-11-13T14:13:33Z
5,The BBC,14,Statement: Modernising the BBC's Operating Licence,https://www.ofcom.org.uk/tv-radio-and-on-demand/bbc/modernising-bbc-operating-licence,2025-11-13T14:13:33Z
5,The BBC,15,BBC Sound Effects,https://sound-effects.bbcrewind.co.uk/,2025-11-13T14:13:33Z
5,The BBC,16,Cm 9365 Broadcasting Royal Charter,https://assets.publishing.service.gov.uk/media/5a80c6d740f0b6230269570c/57964_CM_9365_Charter_Accessible.pdf,2025-11-13T14:13:33Z
5,The BBC,17,Ezzedine Fishere talks Gaza with the BBC - Dickey Center for ...,https://dickey.dartmouth.edu/ezzedine-fishere-talks-gaza-with-the-bbc/,2025-11-13T14:13:33Z
5,The BBC,18,BBC Children in Need: We're there for you,https://www.bbcchildreninneed.co.uk/,2025-11-13T14:13:33Z
5,The BBC,19,Live At The BBC (Remastered) - Album by The Beatles | Spotify,https://open.spotify.com/album/2EowTulHWqSY6QZfTDf5vW,2025-11-13T14:13:33Z
5,The BBC,20,Country Profiles - BBC NEWS,http://news.bbc.co.uk/2/hi/country_profiles/default.stm,2025-11-13T14:13:33Z
6,Streeting,1,Wes Streeting - Wikipedia,https://en.wikipedia.org/wiki/Wes_Streeting,2025-11-13T14:13:38Z
6,Streeting,2,Wes Streeting (@wesstreeting) / Posts / X,https://x.com/wesstreeting?lang=en,2025-11-13T14:13:38Z
6,Streeting,3,Streeting denies plotting against PM after leadership claims,https://www.bbc.com/news/articles/c9v124znrgmo,2025-11-13T14:13:38Z
6,Streeting,4,Contact information for Wes Streeting - MPs and Lords - UK Parliament,https://members.parliament.uk/member/4504/contact,2025-11-13T14:13:38Z
6,Streeting,5,Wes Streeting,https://www.facebook.com/wesstreetingmp/,2025-11-13T14:13:38Z
6,Streeting,6,Mark Streeting | L.E.K. Consulting,https://www.lek.com/leadership/mark-streeting,2025-11-13T14:13:38Z
6,Streeting,7,Wes Streeting MP (@wesstreeting) • Instagram photos and videos,https://www.instagram.com/wesstreeting/?hl=en,2025-11-13T14:13:38Z
6,Streeting,8,Contributions for Wes Streeting - Hansard - UK Parliament,https://hansard.parliament.uk/search/MemberContributions?house=Commons&memberId=4504,2025-11-13T14:13:38Z
6,Streeting,9,Obituary | Jean Elaine Streeting of Fruitland Township | Beacon ...,https://www.beaconfh.com/obituary/jean-streeting,2025-11-13T14:13:38Z
6,Streeting,10,Wes Streeting MP on Growing Up in a Council Flat and Why Politics ...,https://www.theosthinktank.co.uk/comment/2023/06/28/wes-streeting-mp-on-growing-up-in-a-council-flat-and-why-politics-matters,2025-11-13T14:13:38Z
6,Streeting,11,The Rt Hon Wes Streeting MP - GOV.UK,https://www.gov.uk/government/people/wes-streeting,2025-11-13T14:13:38Z
6,Streeting,12,Streeting denies plot to oust Starmer and condemns briefings from ...,https://www.theguardian.com/politics/2025/nov/12/wes-streeting-denies-plotting-oust-keir-starmer-prime-minister,2025-11-13T14:13:38Z
6,Streeting,13,"Wes Streeting: Labour, privati…–The Rest Is Politics: Leading ...",https://podcasts.apple.com/ph/podcast/wes-streeting-labour-privatisation-and-the-nhs/id1665265193?i=1000660458691,2025-11-13T14:13:38Z
6,Streeting,14,ABPI respond to Wes Streeting's commitment to boosting the ...,https://www.abpi.org.uk/media/news/2024/july/abpi-respond-to-wes-streeting-s-commitment-to-boosting-the-economy-through-the-life-sciences-sector/,2025-11-13T14:13:38Z
6,Streeting,15,"streeting, n. meanings, etymology and more | Oxford English ...",https://www.oed.com/dictionary/streeting_n,2025-11-13T14:13:38Z
6,Streeting,16,Exclusive: Why Wes Streeting changed his mind on cross-sex ...,https://segm.org/UK-cross-sex-hormones-restriction,2025-11-13T14:13:38Z
6,Streeting,17,Wes Streeting's speech at Labour Conference – The Labour Party,https://labour.org.uk/updates/press-releases/wes-streetings-speech-at-labour-conference/,2025-11-13T14:13:38Z
6,Streeting,18,Secretary of State Wes Streeting to face questions on NHS England ...,https://committees.parliament.uk/committee/81/health-and-social-care-committee/news/206291/secretary-of-state-wes-streeting-to-face-questions-on-nhs-england-reorganisation/,2025-11-13T14:13:38Z
6,Streeting,19,Streeting: GP “laggards” need to “get with the 21st century” instead ...,https://www.bmj.com/content/390/bmj.r1937,2025-11-13T14:13:38Z
6,Streeting,20,Wes Streeting popularity & fame | YouGov,https://yougov.co.uk/topics/politics/explore/public_figure/Wes_Streeting,2025-11-13T14:13:38Z
